2 胶抛捞瘤,利 1,利 2,利 3,利 4,利 5,0
,2,1,0,0,0,0 ~ 10
,2,1,0,0,0,10 ~ 20
,2,1,0,0,0,20 ~ 30
,4,2,0,0,0,30 ~ 40
,2,1,0,0,0,40 ~ 50
,3,1,0,0,0,50 ~ 60
,3,1,0,0,0,60 ~ 70
,3,1,0,0,0,70 ~ 80
,3,1,0,0,0,80 ~ 90
,5,2,0,0,0,90 ~ 100
,3,1,0,0,0,100 ~ 110
,4,2,0,0,0,110 ~ 120
,5,2,0,0,0,120 ~ 130
,5,2,0,0,0,130 ~ 140
,5,2,0,0,0,140 ~ 150
,7,3,0,0,0,150 ~ 160
,4,2,0,0,0,160 ~ 170
,6,3,0,0,0,170 ~ 180
,4,2,0,0,0,180 ~ 190
,4,2,0,0,0,190 ~ 200
,4,2,0,0,0,200 ~ 210
,6,3,0,0,0,210 ~ 220
,3,1,0,0,0,220 ~ 230
,5,2,0,0,0,230 ~ 240
,5,3,0,0,0,240 ~ 250
,5,3,0,0,0,250 ~ 260
,5,3,0,0,0,260 ~ 270
,7,5,0,0,0,270 ~ 280
,4,2,0,0,0,280 ~ 290
,6,4,0,0,0,290 ~ 300
