4 胶抛捞瘤,各 1,各 2,各 3,各 4,各 5,0
,3,2,0,1,0,0 ~ 10
,3,2,0,1,0,10 ~ 20
,3,2,1,1,0,20 ~ 30
,6,4,0,3,0,30 ~ 40
,3,2,0,1,0,40 ~ 50
,4,3,1,2,0,50 ~ 60
,4,3,0,2,0,60 ~ 70
,4,3,0,2,0,70 ~ 80
,4,3,1,2,0,80 ~ 90
,7,5,0,4,0,90 ~ 100
,4,3,0,2,0,100 ~ 110
,6,4,1,3,0,110 ~ 120
,7,5,1,4,0,120 ~ 130
,7,5,1,4,0,130 ~ 140
,7,5,1,4,0,140 ~ 150
,10,7,2,6,0,150 ~ 160
,6,4,0,3,0,160 ~ 170
,9,6,1,5,0,170 ~ 180
,6,4,0,3,0,180 ~ 190
,6,4,0,3,0,190 ~ 200
,6,4,1,3,0,200 ~ 210
,9,6,0,5,0,210 ~ 220
,4,3,0,2,0,220 ~ 230
,7,5,1,4,0,230 ~ 240
,8,5,1,4,0,240 ~ 250
,8,5,1,4,0,250 ~ 260
,8,5,2,4,0,260 ~ 270
,12,7,2,6,0,270 ~ 280
,6,4,0,3,0,280 ~ 290
,10,6,1,5,0,290 ~ 300
